Date,Retracement,Type
2019/6/10 07:40,150%,
2019/6/10 11:30,65%,
2019/6/10 12:35,150%,
2019/6/10 15:30,110%,
2019/6/10 16:45,230%,
2019/6/10 17:15,165%,
2019/6/10 17:50,190%,
2019/6/10 18:30,90%,
2019/6/10 19:45,170%,
2019/6/10 20:30,160%,
2019/6/11 00:40,150%,
2019/6/11 02:50,105%,
2019/6/11 04:00,55%,
2019/6/11 05:25,110%,
2019/6/11 09:00,155%,
2019/6/11 10:30,45%,
2019/6/11 11:20,90%,
2019/6/11 12:00,75%,
2019/6/11 14:40,160%,
2019/6/11 15:30,130%,
2019/6/11 15:55,175%,
2019/6/11 17:25,190%,
2019/6/11 19:00,180%,
2019/6/12 02:30,55%,
2019/6/12 10:00,115%,
2019/6/12 13:30,50%,
2019/6/12 14:00,170%,
2019/6/12 16:00,120%,
2019/6/12 19:00,195%,
2019/6/12 19:30,95%,
2019/6/12 20:30,90%,
2019/6/12 22:00,130%,
2019/6/12 22:30,200%,
2019/6/13 10:30,220%,
2019/6/13 12:00,55%,
2019/6/13 15:00,200%,
2019/6/13 16:30,155%,
2019/6/14 00:20,150%,
2019/6/14 02:30,130%,
2019/6/14 03:55,185%,
2019/6/14 04:15,80%,
2019/6/14 09:50,150%,
2019/6/14 13:20,60%,
2019/6/14 15:30,220%,
2019/6/14 18:30,60%,
2019/6/14 20:05,90%,
2019/6/14 22:20,155%,
2019/6/15 01:00,75%,
2019/6/15 01:30,105%,
2019/6/17 07:00,110%,
2019/6/17 10:50,110%,
2019/6/17 12:00,110%,
2019/6/17 13:55,95%,
2019/6/17 14:55,220%,
2019/6/17 16:45,130%,
2019/6/17 18:20,155%,
2019/6/17 19:05,300%,
2019/6/17 20:00,70%,
2019/6/17 21:45,200%,
2019/6/17 23:00,185%,
2019/6/18 01:45,145%,
2019/6/18 03:00,150%,FOMC
2019/6/18 05:55,70%,
2019/6/18 10:00,90%,
2019/6/18 10:30,260%,
2019/6/18 11:00,50%,
2019/6/18 11:15,95%,
2019/6/18 15:15,100%,
2019/6/18 19:55,160%,
2019/6/18 22:30,175%,
2019/6/19 01:10,120%,
2019/6/19 03:05,90%,
2019/6/19 08:05,130%,
2019/6/19 14:55,200%,
2019/6/19 16:00,200%,
2019/6/19 18:30,60%,
2019/6/19 21:30,230%,
2019/6/19 22:20,100%,
2019/6/19 23:00,230%,
2019/6/20 00:20,60%,
2019/6/20 01:30,60%,
2019/6/20 03:05,130%,
2019/6/20 06:30,70%,
2019/6/20 08:30,200%,
2019/6/20 09:05,150%,
2019/6/20 11:30,100%,
2019/6/20 12:00,70%,
2019/6/20 14:20,170%,
2019/6/20 16:00,250%,
2019/6/20 17:50,30%,
2019/6/20 18:10,120%,
2019/6/20 19:55,160%,
2019/6/20 21:20,40%,
2019/6/20 22:35,120%,
2019/6/20 23:35,80%,
2019/6/21 00:30,60%,
2019/6/21 01:00,220%,
2019/6/21 03:05,150%,
2019/6/21 04:00,80%,
2019/6/21 09:10,140%,
2019/6/21 10:00,70%,
2019/6/21 10:35,130%,
2019/6/21 12:25,50%,
2019/6/21 15:30,250%,
2019/6/21 16:55,80%,
2019/6/21 19:55,150%,
2019/6/21 20:30,70%,
2019/6/21 21:05,80%,
2019/6/21 21:30,200%,
2019/6/21 23:30,250%,
2019/6/22 00:05,45%,
2019/6/24 11:50,70%,
2019/6/24 12:25,80%,
2019/6/24 15:30,250%,
2019/6/24 17:00,40%,
2019/6/24 18:00,160%,
2019/6/24 19:00,95%,
2019/6/24 20:00,80%,
2019/6/24 21:05,170%,
2019/6/24 22:25,60%,
2019/6/25 04:15,80%,
2019/6/25 06:30,75%,
2019/6/25 09:10,120%,
2019/6/25 11:30,250%,
2019/6/25 14:00,220%,
2019/6/25 17:20,90%,
2019/6/25 18:05,120%,
2019/6/25 19:00,160%,
2019/6/25 20:30,105%,
2019/6/25 21:30,220%,
2019/6/25 23:00,250%,
2019/6/25 23:35,80%,
2019/6/26 01:30,110%,
2019/6/26 02:45,85%,
2019/6/26 08:50,110%,
2019/6/26 10:30,190%,
2019/6/26 13:35,140%,
2019/6/26 18:00,220%,
2019/6/26 18:40,190%,
2019/6/26 19:30,125%,
2019/6/26 22:05,115%,
2019/6/26 23:10,75%,
2019/6/27 00:15,130%,
2019/6/27 02:40,170%,
2019/6/27 10:00,150%,
2019/6/27 11:45,170%,
2019/6/27 16:15,150%,
2019/6/27 17:15,90%,
2019/6/27 18:31,85%,
2019/6/27 19:20,75%,
2019/6/27 19:45,120%,
2019/6/27 20:50,80%,
2019/6/27 22:20,280%,
2019/6/28 10:15,200%,
2019/6/28 11:40,50%,
2019/6/28 14:05,150%,
2019/6/28 16:25,110%,
2019/6/28 17:05,100%,
2019/6/28 19:30,300%,
2019/7/1 00:00,250%,
2019/7/1 05:30,250%,
2019/7/1 08:00,135%,
2019/7/1 16:10,220%,
2019/7/1 18:15,35%,
2019/7/1 20:05,170%,
2019/7/1 22:10,105%,
2019/7/1 23:30,90%,
2019/7/2 13:00,140%,
2019/7/2 16:00,200%,
2019/7/2 18:30,40%,
2019/7/2 23:00,250%,
2019/7/3 08:30,200%,
2019/7/3 09:50,240%,
2019/7/3 15:00,200%,
2019/7/3 16:00,150%,
2019/7/3 20:30,175%,
2019/7/3 22:00,200%,
2019/7/3 22:30,140%,
2019/7/4 00:00,65%,
2019/7/4 01:20,150%,
2019/7/4 02:30,150%,
2019/7/4 03:35,125%,
2019/7/4 04:50,190%,
2019/7/4 12:00,160%,
2019/7/4 14:15,140%,
2019/7/4 17:30,125%,
2019/7/5 10:35,200%,
2019/7/5 11:00,100%,
2019/7/5 15:00,300%,
2019/7/5 16:50,200%,
2019/7/5 18:30,185%,
2019/7/5 19:50,210%,
2019/7/5 22:00,95%,
2019/7/5 23:45,145%,
2019/7/8 03:45,80%,
2019/7/8 06:50,90%,
2019/7/8 07:25,110%,
2019/7/8 09:20,95%,
2019/7/8 10:10,150%,
2019/7/8 15:30,200%,
2019/7/8 16:20,90%,
2019/7/8 17:00,250%,
2019/7/8 18:20,200%,
2019/7/8 19:05,85%,
2019/7/8 21:30,105%,
2019/7/8 22:00,110%,
2019/7/8 23:00,90%,
2019/7/9 01:05,160%,
2019/7/9 03:25,150%,
2019/7/9 09:00,230%,
2019/7/9 15:00,250%,
2019/7/9 16:30,200%,
2019/7/9 17:20,70%,
2019/7/9 18:05,150%,
2019/7/9 20:00,200%,
2019/7/9 22:00,150%,
2019/7/9 23:00,110%,
2019/7/10 01:25,80%,
2019/7/10 10:00,110%,
2019/7/10 14:30,150%,
2019/7/10 15:30,150%,
2019/7/10 17:00,220%,
2019/7/10 17:45,250%,
2019/7/10 18:40,100%,
2019/7/10 23:00,240%,
2019/7/11 00:30,50%,
2019/7/11 02:05,95%,
2019/7/11 05:55,90%,
2019/7/11 09:00,250%,
2019/7/11 10:25,150%,
2019/7/11 11:25,60%,
2019/7/11 16:05,280%,
2019/7/11 17:55,130%,
2019/7/11 20:10,60%,
2019/7/11 21:00,160%,
2019/7/11 22:00,80%,
2019/7/11 23:00,150%,
2019/7/11 23:40,110%,
2019/7/12 00:40,110%,
2019/7/12 09:20,90%,
2019/7/12 12:00,170%,
2019/7/12 12:50,50%,
2019/7/12 13:00,80%,
2019/7/12 13:25,180%,
2019/7/12 14:00,60%,
2019/7/12 15:35,180%,
2019/7/12 16:15,150%,
2019/7/12 17:45,80%,
2019/7/12 19:10,150%,
2019/7/15 04:05,175%,
2019/7/15 07:05,90%,
2019/7/15 10:50,150%,
2019/7/15 15:30,200%,
2019/7/15 16:20,220%,
2019/7/15 19:50,130%,
2019/7/15 23:45,150%,
2019/7/16 01:30,200%,
2019/7/16 09:50,200%,
2019/7/16 10:40,80%,
2019/7/16 14:50,250%,
2019/7/16 15:30,200%,
2019/7/16 18:00,200%,
2019/7/16 19:30,350%,
2019/7/16 20:00,110%,
2019/7/17 04:30,150%,
2019/7/17 07:45,60%,
2019/7/17 09:00,140%,
2019/7/17 09:50,120%,
2019/7/17 11:30,150%,
2019/7/17 11:50,100%,
2019/7/17 15:00,180%,
2019/7/17 16:10,105%,
2019/7/17 17:05,50%,
2019/7/17 19:10,90%,
2019/7/17 23:30,80%,
2019/7/18 00:30,170%,
2019/7/18 01:40,170%,
2019/7/18 09:00,300%,
2019/7/18 11:30,50%,
2019/7/18 16:00,300%,
2019/7/18 18:10,40%,
2019/7/18 19:00,230%,
2019/7/18 20:25,60%,
2019/7/19 03:30,200%,
2019/7/19 04:00,80%,
2019/7/19 08:50,180%,
2019/7/19 15:30,250%,
2019/7/19 16:20,100%,
2019/7/19 16:50,50%,
2019/7/19 17:15,100%,
2019/7/19 17:30,200%,
2019/7/19 18:00,50%,
2019/7/19 18:30,120%,
2019/7/19 19:55,50%,
2019/7/19 21:00,100%,
2019/7/19 23:00,200%,
2019/7/20 03:30,90%,
2019/7/20 04:30,60%,
2019/7/22 07:15,150%,
2019/7/22 09:00,200%,
2019/7/22 15:00,150%,
2019/7/22 16:00,300%,
2019/7/22 21:00,250%,
2019/7/23 00:00,60%,
2019/7/23 01:30,60%,
2019/7/23 08:40,100%,
2019/7/23 09:05,150%,
2019/7/23 13:30,90%,
2019/7/23 15:50,250%,
2019/7/23 17:50,150%,
2019/7/23 20:35,80%,
2019/7/23 23:00,150%,
2019/7/23 23:00,150%,
2019/7/24 00:15,100%,
2019/7/24 01:45,250%,
2019/7/24 03:45,100%,
2019/7/24 14:30,80%,
2019/7/24 15:20,200%,
2019/7/24 16:45,300%,
2019/7/24 20:45,30%,
2019/7/24 23:00,60%,
2019/7/25 02:00,60%,
2019/7/25 03:55,60%,
2019/7/25 04:30,100%,
2019/7/25 15:55,180%,
2019/7/25 18:10,280%,
2019/7/25 21:30,250%,
2019/7/25 23:00,50%,
2019/7/25 23:25,100%,
2019/7/25 23:55,120%,
2019/7/26 02:05,60%,
2019/7/26 03:50,110%,
2019/7/26 06:25,60%,
2019/7/26 10:35,150%,
2019/7/26 12:15,40%,
2019/7/26 15:00,300%,
2019/7/26 19:30,100%,
2019/7/26 21:30,250%,
2019/7/29 08:55,270%,
2019/7/29 11:00,190%,
2019/7/29 14:55,200%,
2019/7/29 15:30,150%,
2019/7/29 16:35,180%,
2019/7/29 18:05,100%,
2019/7/29 19:25,200%,
2019/7/29 22:55,105%,
2019/7/29 23:20,190%,
2019/7/30 01:00,65%,
2019/7/30 06:15,105%,
2019/7/30 09:20,200%,
2019/7/30 11:20,105%,
2019/7/30 12:30,275%,
2019/7/30 14:30,100%,
2019/7/30 16:05,210%,
2019/7/30 16:35,105%,
2019/7/30 17:40,100%,
2019/7/30 19:00,75%,
2019/7/30 19:50,275%,
2019/7/30 20:20,90%,
2019/7/30 22:55,100%,
2019/7/30 23:50,100%,
2019/7/31 00:15,65%,
2019/7/31 01:00,85%,
2019/7/31 03:30,120%,
2019/7/31 07:00,70%,EMA/Gap
2019/7/31 08:45,100%,EMA/Gap
2019/7/31 09:10,50%,"EMA/Gap,Failure"
2019/7/31 10:00,180%,EMA/Pb
2019/7/31 10:25,70%,EMA/Gap
2019/7/31 10:45,100%,EMA/Pb
2019/7/31 11:15,60%,EMA/Gap
2019/7/31 16:00,200%,EMA/Pb
2019/7/31 16:25,100%,EMA/Gap
2019/7/31 17:35,100%,EMA/Gap
2019/7/31 21:20,250%,EMA/Pb
2019/7/31 22:05,440%,"EMA/Gap,Trendfollow"
2019/7/31 22:25,330%,"EMA/Gap,Trendfollow"
2019/7/31 22:50,50%,EMA/Gap
2019/7/31 23:20,150%,EMA/Pb
2019/8/1 00:00,90%,"EMA/Gap,EMA/X"
2019/8/1 01:10,90%,"EMA/Gap,EMA/X"
2019/8/1 03:00,180%,"EMA/Gap,EMA/X,FOMC"
2019/8/1 03:50,25%,EMA/Gap
2019/8/1 05:25,70%,EMA/Gap
2019/8/1 06:10,65%,EMA/Gap
2019/8/1 07:05,80%,EMA/Pb
2019/8/1 07:30,105%,EMA/Gap
2019/8/1 09:40,90%,EMA/Gap
2019/8/1 10:00,165%,EMA/Pb
2019/8/1 11:05,70%,EMA/Gap
2019/8/1 11:50,60%,"EMA/Gap,EMA/X"
2019/8/1 13:00,90%,"EMA/Gap,EMA/X"
2019/8/1 13:55,100%,"EMA/Gap,EMA/X"
2019/8/1 15:25,110%,"EMA/Gap,EMA/X,Failure"
2019/8/1 15:40,210%,"EMA/Gap,EMA/X"
2019/8/1 16:35,135%,EMA/Pb
2019/8/1 17:10,130%,"EMA/Gap,Trendfollow"
2019/8/1 17:25,90%,EMA/Gap
2019/8/1 17:40,130%,EMA/Pb
2019/8/1 18:10,160%,EMA/Pb
2019/8/1 19:10,65%,EMA/Gap
2019/8/1 20:20,80%,EMA/X
2019/8/1 21:05,150%,EMA/Pb
2019/8/1 21:30,320%,EMA/Pb
2019/8/1 22:00,200%,"EMA/Gap,Trendfollow"
2019/8/1 23:40,50%,EMA/Gap
2019/8/2 00:25,130%,"EMA/Pb,Failure"
2019/8/2 00:50,120%,"EMA/Gap,EMA/X"
2019/8/2 02:00,300%,EMA/Pb
2019/8/2 06:45,70%,EMA/Gap
2019/8/2 09:20,220%,"EMA/Gap,EMA/X"
2019/8/2 10:20,50%,EMA/Gap
2019/8/2 11:05,75%,EMA/Pb
2019/8/2 11:15,45%,EMA/Gap
2019/8/2 12:05,170%,EMA/Pb
2019/8/2 13:10,110%,"EMA/Gap,EMA/X"
2019/8/2 14:05,35%,EMA/Gap
2019/8/2 14:40,130%,EMA/Pb
2019/8/2 15:30,185%,"EMA/Gap,EMA/X"
2019/8/2 17:25,80%,EMA/Gap
2019/8/2 18:00,80%,"EMA/Gap,EMA/X"
2019/8/2 18:50,200%,"EMA/Gap,EMA/X"
2019/8/2 19:55,90%,"EMA/Gap,EMA/X"
2019/8/2 21:10,95%,"EMA/Gap,EMA/X"
2019/8/2 21:45,270%,"EMA/Gap,EMA/X"
2019/8/2 22:05,90%,EMA/Gap
2019/8/2 22:50,35%,EMA/Gap
2019/8/2 23:05,200%,EMA/Pb
2019/8/3 00:00,50%,EMA/Gap
2019/8/3 00:45,180%,EMA/Pb
2019/8/3 01:30,65%,"EMA/Gap,EMA/X"
2019/8/3 02:35,160%,"EMA/Gap,EMA/X"
2019/8/3 03:40,40%,EMA/Gap
2019/8/3 04:50,110%,"EMA/Gap,EMA/X"
2019/8/3 05:20,125%,"EMA/Gap,EMA/X"